Address,Created On,Amount
0x5355cd ... e70887,"Jan 7, 2024, 07:25 PM UTC",100096.27
0x2e7177 ... d829a2,"Jan 22, 2024, 03:10 AM UTC",99950.0
0x6a24d5 ... db7e63,"Jan 20, 2024, 05:48 PM UTC",50000.0
0x9f812f ... 493a6e,"Jan 19, 2024, 10:57 PM UTC",25000.0
0x2a4730 ... ebda2e,"Jan 22, 2024, 08:02 AM UTC",20020.0
0x2918f2 ... 7e65d8,"Jan 12, 2024, 05:27 PM UTC",10500.56
0x145697 ... 38b10d,"Jan 18, 2024, 12:52 AM UTC",6969.0
0x7fa48d ... 5162fe,"Jan 19, 2024, 04:50 AM UTC",5000.0
0x57092e ... 075539,"Jan 18, 2024, 03:47 PM UTC",2001.0
0x25cf41 ... e31535,"Jan 21, 2024, 06:23 AM UTC",1000.0
0x41843c ... 015a43,"Jan 22, 2024, 12:05 PM UTC",500.0
0xb0a0b1 ... 5cbe10,"Jan 21, 2024, 02:24 AM UTC",150.0
0xaa3dbd ... 118729,"Jan 11, 2024, 03:37 PM UTC",145.0
0xea1c98 ... d251a6,"Jan 22, 2024, 11:31 AM UTC",100.0
0xbbe50d ... 763163,"Jan 22, 2024, 08:20 AM UTC",100.0
0x528868 ... dda9e8,"Jan 22, 2024, 08:05 AM UTC",100.0
0x849b4d ... bf1872,"Jan 22, 2024, 02:37 AM UTC",100.0
0xcbe68d ... bece42,"Jan 21, 2024, 07:21 AM UTC",100.0
0xb4344a ... 1e7e77,"Jan 21, 2024, 06:21 AM UTC",100.0
0x970ce5 ... 9fd823,"Jan 22, 2024, 09:53 AM UTC",88.0
0x4244a1 ... 7a0efb,"Jan 11, 2024, 01:58 AM UTC",69.0
0x413a75 ... 15ce06,"Jan 22, 2024, 10:22 AM UTC",14.0
0xdfdf6f ... 49da50,"Jan 22, 2024, 12:04 PM UTC",10.0
0xdc07f1 ... f93fac,"Jan 21, 2024, 07:27 AM UTC",10.0
0xb36f3b ... 1c7fe5,"Jan 22, 2024, 10:12 AM UTC",8.0
0xea1916 ... 41459f,"Jan 21, 2024, 08:34 AM UTC",7.0
0x689cce ... 2465b6,"Jan 21, 2024, 07:21 AM UTC",5.0
0x1a403a ... a4861c,"Jan 22, 2024, 10:12 AM UTC",3.0
0xc3a1b3 ... fcb9b1,"Jan 22, 2024, 10:10 AM UTC",3.0
0xa2c532 ... 3f2927,"Jan 22, 2024, 10:08 AM UTC",3.0
0x5e7453 ... 2559e7,"Jan 22, 2024, 10:20 AM UTC",2.0
0x167eb1 ... 2adba7,"Jan 22, 2024, 07:06 AM UTC",2.0
0x99b101 ... 586dd2,"Jan 22, 2024, 07:31 AM UTC",1.0
0x865001 ... 35fe54,"Jan 22, 2024, 07:28 AM UTC",1.0
0x7f7d8b ... 6ad915,"Jan 22, 2024, 07:23 AM UTC",1.0
0x76601c ... 428907,"Jan 11, 2024, 02:26 AM UTC",1.0
0x0cfc91 ... d1e894,"Jan 22, 2024, 01:18 PM UTC",0.0
